,ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
14,0x16c66,CUS_0x6e1c,May,Miyoungu,48,379-51-3045,Lawyer,82230.76,,1,3,5,0,,2,2,6.05,6.0,Good,1260.01,24.93453942825613,30 Years and 9 Months,No,27748.0,731.8548489255477,Low_spent_Small_value_payments,243.50148440778568,Standard
15,0x3759,CUS_0x6a55,April,Giuseppeh,53,106-36-5469,Mechanic,42048.24,3758.02,6,4,5,2,"Auto Loan, and Personal Loan",22,8,9.54,1.0,Good,975.52,34.37058754430649,29 Years and 1 Months,NM,53.581463259695425,125.9631224166003,High_spent_Medium_value_payments,446.2574143237043,Good
16,0x1bd21,CUS_0x5aac,August,,26,818-36-4343,Journalist,30385.56,2374.13,0,6,9,3,"Not Specified, Home Equity Loan, and Auto Loan",9,11,11.09,0.0,Good,1444.1,31.9364416294755,31 Years and 2 Months,No,71.2615631000285,78.96447460755407,High_spent_Medium_value_payments,337.18696229241743,Standard
17,0x501b,CUS_0x327d,June,Hetznerp,41,898-35-4224,Lawyer,17122.37,1183.8641666666665,7,5,12,2,"Mortgage Loan, and Home Equity Loan",14,18,8.52,9.0,Standard,1663.18,38.376196281492746,11 Years and 7 Months,Yes,21.15095856322389,__10000__,Low_spent_Small_value_payments,283.2025716726561,Standard
18,0x1a382,CUS_0x8ac7,January,,20,915-52-6575,Doctor,35075.33,3213.9441666666667,7,5,9,1,Student Loan,0,14_,5.31,2.0,Standard,441.46,29.995279440351997,15 Years and 2 Months,No,28.573030595961857,300.4159628096304,Low_spent_Medium_value_payments,272.4054232610745,Standard
19,0x186d5,CUS_0xb8af,April,Deyg,38,641-83-1438,Journalist,59893.26,5052.105000000001,6,3,9,1,Auto Loan,16,19,2.89,2.0,Good,1457.41,29.57621517943731,21 Years and 4 Months,No,40.78819745724682,262.94651264161763,Low_spent_Small_value_payments,491.4757899011356,Good
20,0x18069,CUS_0xb45a,April,,39_,451-51-4200,Accountant,145175.4,12016.95,3,1,6,1,Personal Loan,16,0,5.58,2.0,Good,1271.95,37.29758198296726,23 Years and 7 Months,No,67.83706538387564,167.2909881915461,High_spent_Medium_value_payments,1216.5669464245782,Standard
21,0x189f7,CUS_0x8731,February,Spicerf,28,518-75-8448,Writer,9615.095,610.2579166666667,8,6,13,2,"Debt Consolidation Loan, and Student Loan",12,18,0.7800000000000002,4.0,Standard,520.99,31.78540398513529,22 Years and 6 Months,Yes,9.610264095842965,31.446252344009046,!@9#%8,309.9692752268146,Standard
22,0x25577,CUS_0x22a1,June,Michaelr,29_,181-78-0271,Lawyer,17024.05,1454.0827083496192,3,4,12,6,"Payday Loan, Student Loan, Auto Loan, Not Specified, Debt Consolidation Loan, and Auto Loan",16,18,15.42,12.0,Standard,1473.4,38.686077360024534,,Yes,74.01477911733603,46.90784899704232,Low_spent_Large_value_payments,300.63258020266926,Standard
23,0x24da0,CUS_0x1837,March,Kazunori Takadab,35,600-87-2067,Musician,34180.94,2685.411666666667,6,5,19,7,"Home Equity Loan, Credit-Builder Loan, Not Specified, Debt Consolidation Loan, Credit-Builder Loan, Student Loan, and Payday Loan",62,25,2.63,10.0,Bad,3375.66,41.105560950674615,7 Years and 9 Months,Yes,135.85229511509775,59.86548272531717,High_spent_Medium_value_payments,322.82338882625186,Poor
24,0x21bc0,CUS_0x49c4,March,Alisonx,28,861-41-5971,Architect,39831.1,3454.258333333333,1,2,6,1,Home Equity Loan,12,,9.08,4.0,Good,1.2,32.975308035067954,27 Years and 5 Months,No,25.7980240980847,141.74470797312867,High_spent_Small_value_payments,437.8831012621201,Good
25,0x14d16,CUS_0x2890,May,Deyo,44_,522-59-8579,Doctor,71015.06999999999,5866.9225,7,7,3582,4,"Not Specified, Auto Loan, Payday Loan, and Debt Consolidation Loan",6,11,14.16,4.0,Standard,1244.36,25.444412773039534,28 Years and 11 Months,Yes,139.2783643038279,283.16788898934806,Low_spent_Large_value_payments,434.24599670682403,Standard
26,0x14b8b,CUS_0xc1bb,June,Victoria Bryanx,25,859-83-6342,Doctor,28097.2,2397.433333333333,0,7,4,0,,7,8,5.44,2.0,_,644.34,26.82586300857079,29 Years and 8 Months,No,0.0,93.69862615232243,Low_spent_Small_value_payments,436.04470718101095,Good
27,0x24cf8,CUS_0x206b,March,Claras,19,600-69-4533,Entrepreneur,47641.53,,7,7,28,7,"Home Equity Loan, Home Equity Loan, Payday Loan, Personal Loan, Student Loan, Mortgage Loan, and Payday Loan",55,23,4.94,8.0,Bad,2150.59,39.145374191672985,15 Years and 1 Months,Yes,161.74768540935835,205.88286493008246,Low_spent_Large_value_payments,321.7821996605592,Poor
28,0x114e3,CUS_0x340e,June,Annx,39,460-11-1786,Writer,106119.68,9128.306666666664,3,5,18,3,"Auto Loan, Student Loan, and Mortgage Loan",5,,19.95,5.0,Standard,336.54,30.26449686171999,15 Years and 6 Months,NM,256.32974338951124,1128.3859004052347,!@9#%8,,Good
29,0xe725,CUS_0x55cd,August,Yoko Kubotat,47,613-69-6896,_______,19705.74,1377.1450000000002,5,4,10,2,"Home Equity Loan, and Personal Loan",13,11,11.98,0.0,Standard,39.75,32.07344388860426,,Yes,22.966879275431356,152.24368474371167,Low_spent_Small_value_payments,252.50393598085697,Standard
30,0x14e2c,CUS_0x4854,July,Langep,44,564-50-3217,Accountant,66012.28,5400.0233333333335,10,9,30,6_,"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",47,,30.47,11.0,_,3696.36,27.89374541991133,14 Years and 1 Months,Yes,227.3018600172955,219.8688674374263,Low_spent_Large_value_payments,362.8316058786116,Standard
31,0x24290,CUS_0xbd4,March,Devitty,45,583-65-5183,Architect,106614.18,9150.515,3,6,6,2,"Debt Consolidation Loan, and Mortgage Loan",7,2,2.89,4.0,Good,40.71,28.34126166816324,25 Years and 7 Months,No,105.1786512581012,373.6438059622128,Low_spent_Large_value_payments,706.2290427796861,Standard
32,0x136e6,CUS_0x8823,January,,54,220-68-1404,Musician,94639.11,,3,4,16,3,"Credit-Builder Loan, Payday Loan, and Home Equity Loan",12,16,3.28,0.0,Standard,680.76,38.76886813560875,,No,194.60111259094947,220.36688446825963,High_spent_Small_value_payments,615.5912529407908,Standard
33,0x1edbc,CUS_0x5597,July,Leske Noelc,48,#F%$D@*&8,Musician,17950.55,1646.8791666666666,7,3,10,3,"Student Loan, Not Specified, and Debt Consolidation Loan",18,14,3.23,3.0,_,453.73,40.54379566465823,,No,27.41569306677552,46.74353013905029,Low_spent_Medium_value_payments,370.5286934608408,Poor
34,0xcfc0,CUS_0x6b82,July,Jonathan Sauls,25,775-60-4225,Musician,58208.24,4748.6866666666665,9,9,988,8,"Debt Consolidation Loan, Not Specified, Personal Loan, Personal Loan, Personal Loan, Personal Loan, Home Equity Loan, and Debt Consolidation Loan",31,17,5.24,17.0,Bad,2551.84,36.14029604585152,10 Years and 7 Months,Yes,223.92009063068545,222.50268446837646,Low_spent_Small_value_payments,318.4458915676048,Poor
35,0x164bf,CUS_0x87df,February,Vidyas,28,876-74-5642,Media_Manager,15349.54,1180.128333333333,9,7,22,9,"Student Loan, Not Specified, Not Specified, Not Specified, Personal Loan, Student Loan, Home Equity Loan, Payday Loan, and Auto Loan",40,23_,_,12.0,Bad,2988.2,33.04588755470302,11 Years and 10 Months,Yes,108.46101550745072,148.97443326153078,!@9#%8,150.5773845643519,Standard
36,0x2064c,CUS_0x4c6b,July,Katyat,51,361-89-0620,Journalist,26779.9,,7,4,12,4,"Credit-Builder Loan, Personal Loan, Debt Consolidation Loan, and Personal Loan",28,14,7.36,6.0,Good,680.39,39.9225697705133,,No,56.035539800776434,50.67615358460085,High_spent_Large_value_payments,331.95413994795604,Good
37,0x353e,CUS_0x7b72,May,"""Rosalba OBrien""p",42,199-56-9238,Architect,9754.75,526.8958333333334,7,6,21,6,"Payday Loan, Payday Loan, Home Equity Loan, Home Equity Loan, Home Equity Loan, and Credit-Builder Loan",28,16,16.11,10.0,Bad,4074.72,33.49887063121924,,Yes,42.73230601419176,22.307144633383352,High_spent_Medium_value_payments,237.65013268575825,Standard
38,0x12a6e,CUS_0xc0cd,January,Lucia Mutikaniy,34,299-13-8784,Engineer,14132.77,894.7308333333333,8,8,23,5,"Personal Loan, Home Equity Loan, Student Loan, Student Loan, and Student Loan",56,23,27.56,12.0,_,4300.74,31.377779963756826,,Yes,39.742504244485275,23.673565851048345,!@9#%8,276.0570132377997,Standard
39,0x25b91,CUS_0x7701,August,Klaymanv,52,369-38-9871,Entrepreneur,48115.6,4287.633333333333,8,5,12,2,"Mortgage Loan, and Debt Consolidation Loan",28,18,-2.81,5.0,_,454.94,33.048463410774715,25 Years and 6 Months,No,45.392163488128325,124.2680262254054,High_spent_Medium_value_payments,509.1031436197995,Good
40,0x10d3f,CUS_0x27ab,June,Annc,29,626-43-7937,Media_Manager,134993.79,11462.4825,1,6,9,3,"Debt Consolidation Loan, Student Loan, and Personal Loan",9,9,10.64,5.0,Good,629.16,33.03697372236522,16 Years and 1 Months,No,280.8381170557317,164.69032232652805,High_spent_Large_value_payments,940.7198106177403,Poor
41,0x132b5,CUS_0xc26a,August,Luke Bakerr,39_,031-93-1916,Mechanic,37080.88,3347.0733333333333,7,7,29,9_,"Home Equity Loan, Payday Loan, Auto Loan, Student Loan, Personal Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Auto Loan",34,24,21.96,858.0,Bad,3004.98,33.756785606936816,5 Years and 4 Months,NM,222.0722164981464,351.69910965661813,Low_spent_Small_value_payments,50.93600717856887,Standard
42,0x6d96,CUS_0x60da,May,Kate Holtonm,45,640-48-4568,Writer,22517.1,1600.425,3,5,6,0,,9,20,8.32,4.0,Standard,729.74,32.54011148740636,16 Years and 5 Months,NM,0.0,__10000__,Low_spent_Small_value_payments,346.9111556646012,Standard
43,0xdad8,CUS_0x38c0,March,Abhishekx,33,083-35-9736,Musician,15660.15,,9,10,23,5,"Not Specified, Not Specified, Personal Loan, Personal Loan, and Debt Consolidation Loan",45,18,2.46,9.0,Bad,1354.33,34.45115834848661,8 Years and 1 Months,Yes,57.290679432061694,153.88722462479603,!@9#%8,215.12334594314228,Poor
44,0x1cb12,CUS_0x6ccb,January,Nickx,40,095-39-2430,Writer,24312.94,2040.078333333333,4,6,20,6,"Auto Loan, Auto Loan, Auto Loan, Personal Loan, Student Loan, and Not Specified",24,18,19.83,4.0,Standard,636.21,33.259445592710826,9 Years and 8 Months,Yes,120.6661970700823,34.424667305112315,High_spent_Medium_value_payments,298.91696895813874,Standard
45,0x23535,CUS_0x5fe9,April,,32,016-67-2258,Accountant,122503.12,9982.593333333332,3,7,7,0,,29,23_,7.32,2.0,Good,333.32,34.51040550124148,17 Years and 4 Months,No,0.0,840.8502104335511,Low_spent_Large_value_payments,427.4091228997824,Poor
46,0x190bd,CUS_0x5107,August,Josephq,26,582-10-2127,Teacher,9622.625,905.8854166666664,5,5,16,5,"Student Loan, Not Specified, Mortgage Loan, Payday Loan, and Credit-Builder Loan",8,10,18.07,5.0,Standard,1836.2,39.84704114163132,,Yes,29.799562938173555,46.702984306594416,Low_spent_Small_value_payments,304.0859944218987,Standard
47,0xad1d,CUS_0x67aa,August,Lianaf,22,517-97-5096,Doctor,45594.72,,7,4,18,6,"Personal Loan, Credit-Builder Loan, Personal Loan, Not Specified, Payday Loan, and Payday Loan",15,22,9.47,8.0,Standard,1256.49,28.62402047580995,16 Years and 3 Months,Yes,182.1071855917206,330.6920327745434,Low_spent_Medium_value_payments,148.05678163373597,Standard
48,0x125b5,CUS_0x10b6,April,Gillesw,48,439-76-5364,Journalist,23627.63,,7,3,19,3,"Payday Loan, Credit-Builder Loan, and Debt Consolidation Loan",6,12,1.23,1.0,_,277.93,30.49951583799439,18 Years and 0 Months,No,37.99637812752503,,Low_spent_Small_value_payments,286.77914832182154,Standard
49,0x1e11e,CUS_0x7fb3,May,Callusk,28,810-95-8044,Engineer,19557.1,1423.7583333333332,5,5,15,4,"Student Loan, Credit-Builder Loan, Home Equity Loan, and Home Equity Loan",15,17,12.86,6.0,Standard,2002.24,23.766186395779485,12 Years and 3 Months,Yes,53.65460692883751,159.477302809874,Low_spent_Small_value_payments,219.24392359462186,Poor
50,0x1e907,CUS_0x4e71,February,Danielm,19,147-57-4171,Architect,120539.8_,,6,4,10,0,,27,10,1.95,1.0,Standard,318.21,44.55638811373656,20 Years and 11 Months,NM,0.0,304.03228354373726,High_spent_Small_value_payments,961.1660497895963,Standard
51,0x24457,CUS_0xc19f,February,Sarahu,42,052-17-3249,Manager,31239.32,2513.276666666666,9,6,26,6,"Mortgage Loan, Mortgage Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, and Debt Consolidation Loan",58,22,28.23,9.0,Bad,2585.96,38.844529262098824,10 Years and 9 Months,Yes,141.09962707119888,27.803444349168448,High_spent_Large_value_payments,322.42459524629936,Standard
52,0xb521,CUS_0xbe29,August,Younglais,31,970-80-4101,Architect,28993.75,2459.145833333333,2,4,12,1,Personal Loan,9,2,6.74,0.0,Good,822.72,33.82857350948945,20 Years and 4 Months,No,18.34558543973027,94.31949058822407,Low_spent_Small_value_payments,423.24950730537904,Standard
53,0x23574,CUS_0x87a3,July,,31,980-07-6877,Manager,40214.54,3470.211666666666,3,5,21,3,"Credit-Builder Loan, Debt Consolidation Loan, and Not Specified",26,18,11.99,14.0,Standard,1997.76,37.184950822515226,12 Years and 9 Months,Yes,71.41267637595884,154.18874118738674,High_spent_Small_value_payments,381.419749103321,Poor
54,0x16146,CUS_0x855f,January,Kimj,43,153-56-1810,Lawyer,142204.08,12141.339999999998,6,7,17,4,"Auto Loan, Not Specified, Payday Loan, and Home Equity Loan",21,11,1.4300000000000002,3.0,Standard,1259.66,37.8232846382916,,Yes,250.40888139736407,943.0375830257043,Low_spent_Medium_value_payments,300.6875355769314,Standard
55,0x1e2e8,CUS_0xb319,July,Reese Ewingh,43,#F%$D@*&8,_______,15361.32,1362.11,10,243,17,9,"Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, Home Equity Loan, Personal Loan, Mortgage Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",24,17,22.95,11.0,Bad,2899.99,22.66148270207134,9 Years and 4 Months,Yes,45452.0,159.50865529159196,Low_spent_Small_value_payments,154.79836040976045,Standard
56,0x37ed,CUS_0x22b3,August,Gilbertn,54,333-22-1926,Journalist,66174.84,5263.57,8,7,18,4,"Student Loan, Personal Loan, Not Specified, and Auto Loan",19,10,11.23,4.0,Standard,951.18,39.602954614073155,21 Years and 0 Months,No,150.9081877807035,112.62330686725063,!@9#%8,512.8255053520459,Poor
57,0x20954,CUS_0xb575,March,Ryanl,19,509-35-9475,Teacher,95099.8,,5,5,7,4,"Home Equity Loan, Not Specified, Payday Loan, and Credit-Builder Loan",8,11,5.539999999999999,7.0,Standard,618.46,32.250231089105256,22 Years and 9 Months,Yes,236.83348188888127,400.6454819679094,Low_spent_Large_value_payments,417.7193694765428,Standard
58,0x1dfd8,CUS_0x2267,March,Rigbyv,43,322-94-2134,Writer,17556.41,1192.0341666666666,8,10,34,4,"Auto Loan, Student Loan, Mortgage Loan, and Personal Loan",21,10,11.09,9.0,Standard,2178.73,38.28829948280089,14 Years and 9 Months,Yes,42.1279038912681,38.06509835430956,Low_spent_Medium_value_payments,319.01041442108897,Poor
59,0xea17,CUS_0xc4f9,June,Huffstutterk,43,084-06-5674,Lawyer,92200.68,7404.39,2,6,1,1,Auto Loan,22,5,4.67,3.0,Good,936.63,36.6720875537265,28 Years and 1 Months,No,52.433666768022135,364.44359259635286,Low_spent_Medium_value_payments,603.561740635625,Poor
60,0x1f8a4,CUS_0x6993,March,Stempelw,45,231-37-0491,Developer,34146.86,2986.5716666666667,4,7,1,2,"Credit-Builder Loan, and Credit-Builder Loan",13,,2.07,1.0,Good,163.0,29.11092220922629,28 Years and 10 Months,No,56.334345300507024,272.29625519245826,Low_spent_Large_value_payments,240.0265661737014,Good
61,0x21a8c,CUS_0x2ba1,July,,31,332-45-0857,Mechanic,10277.19,920.4325,4,6,5,5,"Auto Loan, Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, and Payday Loan",6,,12.66,13.0,Standard,1333.97,26.65364712698891,20 Years and 3 Months,Yes,25.02984103118937,76.774324312193,Low_spent_Small_value_payments,280.23908465661765,Standard
62,0x158a7,CUS_0x4946,February,Fionam,41,121-29-4094,Architect,20346.15,1901.5125,10,6,24,8,"Credit-Builder Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Credit-Builder Loan, Not Specified, and Home Equity Loan",30,18,5.19,12.0,Bad,1543.16,40.093926980409606,7 Years and 8 Months,Yes,72.29389799140776,32.60925179624664,High_spent_Medium_value_payments,335.2481002123456,Poor
63,0xcdaf,CUS_0x9344,June,Katzp,16,197-74-8431,Accountant,19126.65,1683.8875,8,8,28,3,"Auto Loan, Not Specified, and Home Equity Loan",55,18,1.93,14.0,_,2699.31,37.675825748523934,18 Years and 9 Months,Yes,36.161658295200525,111.68692775790774,Low_spent_Small_value_payments,310.54016394689177,Poor
64,0xe0bf,CUS_0x66a1,February,,38,425-34-3402,Writer,18625.74,1601.1450000000002,9,7,15,8,"Personal Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Home Equity Loan, and Personal Loan",36,22,6.59,8.0,Bad,3858.98,34.92557841283902,13 Years and 9 Months,Yes,93.08625730989256,166.68011399084824,Low_spent_Small_value_payments,190.34812869925918,Standard
65,0x211a0,CUS_0x9f8d,March,Jonathan Spicerf,35,363-98-4300,Writer,20120.38,,8,6,26,7,"Auto Loan, Payday Loan, Student Loan, Credit-Builder Loan, Personal Loan, Personal Loan, and Not Specified",23,18,11.87,9.0,Bad,2734.91,35.661865325944255,,Yes,62.49858275423454,104.3329312256405,!@9#%8,264.2383193534584,Standard
66,0x1df03,CUS_0x786,June,Virkiw,35,052-06-5984,Lawyer,7957.91,563.1591666666667,3,3,17,5,"Personal Loan, Mortgage Loan, Mortgage Loan, Personal Loan, and Not Specified",23,19,11.13,4.0,_,818.5,40.15160700654828,,Yes,31.461448390614915,16.04162444749442,High_spent_Small_value_payments,268.81284382855733,Standard
67,0x15f44,CUS_0xa2af,March,Giannone Laurenn,43,838-46-6396,Engineer,14031.25,1107.2708333333333,8,10,28,7,"Credit-Builder Loan, Debt Consolidation Loan, Student Loan, Personal Loan, Auto Loan, Home Equity Loan, and Personal Loan",51,17,29.07,6.0,Bad,3806.35,27.858202783838788,2 Years and 3 Months,Yes,79.52467981516034,20.10458927317688,High_spent_Large_value_payments,251.0978142449961,Standard
68,0x1ed5a,CUS_0x535b,May,Charlie Dunmorex,39,679-70-4322,Developer,167922.52,14257.543333333331,4,3,4,0,,5,6,7.06,4.0,_,426.24,42.326108505226685,26 Years and 1 Months,NM,0.0,991.2537995582401,High_spent_Small_value_payments,694.5005337750932,Good
69,0x2622,CUS_0xadf6,January,Halpinh,38,300-53-0224,Doctor,7506.125,872.5104166666665,10,7,22,-100,"Not Specified, Payday Loan, Not Specified, Home Equity Loan, and Auto Loan",55,18,25.04,7.0,Bad,4183.22,25.04460412127017,10 Years and 9 Months,Yes,22.908411236820587,26.844297886433193,Low_spent_Large_value_payments,307.49833254341286,Poor
70,0x173da,CUS_0x9c98,May,Willb,35,575-65-4411,Journalist,43960.19,3664.349166666667,4,6,2,2_,"Credit-Builder Loan, and Personal Loan",13,0,7.99,3.0,Good,1009.92,27.428557835063785,30 Years and 6 Months,No,49.66141112240488,149.4905290642005,Low_spent_Small_value_payments,457.28297648006134,Good
71,0x21ee7,CUS_0x7e30,June,Jo Winterbottomo,27,788-76-9513,_______,112743.08,9463.256666666666,3,6,2,3,"Not Specified, Personal Loan, and Personal Loan",7,3,4.37,4.0,Good,782.51,36.2667069761109,16 Years and 4 Months,No,235.7798989501266,117.3685859660744,High_spent_Medium_value_payments,843.1771817504657,Standard
72,0x1c14d,CUS_0xba96,August,Jonathanv,38,850-35-4831,Entrepreneur,20378.795,1428.2329166666666,3,5,2,4,"Debt Consolidation Loan, Credit-Builder Loan, Not Specified, and Payday Loan",2,3,0.85,3.0,Good,1438.9,30.840662892365287,16 Years and 2 Months,No,50.095855483310935,18.068146739019912,High_spent_Medium_value_payments,324.6592894443358,Standard
73,0x2589d,CUS_0x50c4,August,Georgina Prodhani,27,043-82-6979,Mechanic,14566.27,,6,9,31,5,"Credit-Builder Loan, Home Equity Loan, Auto Loan, Auto Loan, and Payday Loan",22,14,15.26,11.0,Bad,3402.82,25.257238857684214,2 Years and 8 Months,Yes,50.31132270983993,42.18268177558488,Low_spent_Small_value_payments,317.6915788479085,Standard
74,0x1c639,CUS_0x99cc,August,Bille,44,424-82-3402,Scientist,44046.21,3466.5175,7,7,21,7,"Not Specified, Auto Loan, Home Equity Loan, Mortgage Loan, Credit-Builder Loan, Student Loan, and Student Loan",18,16,15.88,9.0,Bad,2709.07,36.773227614053695,13 Years and 2 Months,Yes,161.29223301075467,166.92967806557218,High_spent_Small_value_payments,278.429838923673,Good
75,0x1d74e,CUS_0x6a14,January,Bill Rigbyr,32,510-71-6161,Scientist,28603.64,2539.6366666666668,1,1,2,0,,12,2,4.23,4.0,Good,1428.43,30.547246060381195,31 Years and 3 Months,No,0.0,62.528685043124206,High_spent_Large_value_payments,431.43498162354246,Standard
76,0x1fc05,CUS_0x259d,April,Jonasc,22,130-17-0626,Doctor,22433.46_,1585.455,4,3,11,1,Payday Loan,4,4,4.73,4.0,Good,1078.38,33.21133696672823,28 Years and 2 Months,No,9.530143983210914,146.46175537662683,Low_spent_Large_value_payments,272.5536006401623,Good
77,0x20767,CUS_0x6bf5,February,Eva Taylorn,26,761-78-5044,Teacher,70902.06,,4,3,5,2,"Personal Loan, and Payday Loan",4,8,4.88,2.0,Good,720.71,31.900344908507066,24 Years and 5 Months,NM,59.70966352309473,214.98406936821618,High_spent_Medium_value_payments,565.1567671086891,Good
